2010
January,6.43628(2.41332, 1.93304),25.2433(5.62956, 4.53843),1.6432e+006
February,5.97556(2.8302, 2.22075),23.8725(5.20811, 4.19377),1.17289e+006
March,5.72325(2.93384, 2.35979),22.9225(5.16693, 4.04712),1.14591e+006
April,4.6006(2.93736, 2.3363),18.3896(4.39652, 3.4998),837687
May,3.84524(2.76289, 2.29099),14.6442(4.80866, 3.95162),664682
June,3.7599(2.77311, 2.31508),12.6755(4.87119, 4.02937),547426
July,3.92315(3.35401, 2.61203),11.7032(4.5408, 3.80183),598637
August,3.63858(2.93475, 2.47853),12.5104(4.6064, 3.79705),776011
September,5.11392(3.34541, 2.69392),14.8752(5.263, 4.30649),1.05035e+006
October,5.57204(2.90846, 2.30326),17.0798(5.05141, 4.0078),1.36579e+006
November,6.08382(3.06573, 2.41484),21.8657(5.90856, 4.69818),1.4067e+006
December,6.86265(3.49556, 2.67755),22.2758(5.41172, 4.27382),1.53e+006
